ticker,company_name,sector,industry,current_price,market_cap_billions,total_score,growth_score,value_score,quality_score,momentum_score,sentiment_score,sector_score,revenue_growth,earnings_growth,gross_margin,operating_margin,trailing_pe,forward_pe,price_to_sales,price_to_book,peg_ratio,return_on_equity,debt_to_equity,insider_ownership,institutional_ownership,short_percent,target_price,recommendation,num_analysts,beta,average_volume
DT,"Dynatrace, Inc.",Technology,Software - Application,37.86,11.415026688,60,17,8,17,4,2,12,0.181,0.286,0.81838995,0.14776,22.67066,20.520102,6.1618514,4.1120887,,0.20569,3.125,0.00471,1.04222,0.0344,58.80645,1.6,31.0,0.845,3897386
FLYW,Flywire Corporation - Voting,Technology,Software - Infrastructure,12.91,1.579026432,60,6,14,13,8,4,15,0.276,-0.233,0.62583,0.15766,,14.775901,2.7083063,1.9013255,,-0.00291,1.959,0.03387,0.95521003,0.042,17.19231,2.13333,13.0,1.284,1429158
GEN,Gen Digital Inc.,Technology,Software - Infrastructure,23.9,14.739514368,60,11,9,15,4,6,15,0.253,-0.192,0.7932,0.36475,26.263735,8.364862,3.295219,6.002009,,0.25027,356.98,0.09307,0.88087,0.0378,32.85,2.09091,10.0,1.084,4838123
MITK,"Mitek Systems, Inc.",Technology,Software - Application,10.05,0.459710656,60,8,14,11,10,5,12,0.036,-0.782,0.85093004,0.10574,52.894737,9.136364,2.5583398,1.908832,,0.03866,66.381,0.024249999,0.77718,0.051599998,13.75,1.6,4.0,1.085,582621
PATH,"UiPath, Inc.",Technology,Software - Infrastructure,13.25,7.085433344,60,11,9,13,8,4,15,0.159,,0.83384,0.03179,31.54762,17.45396,4.562091,3.6805556,,0.12562001,4.261,0.07654,0.70919997,0.1559,16.4,,15.0,1.079,23914183
YEXT,"Yext, Inc.",Technology,Software - Infrastructure,7.3,0.899628672,60,8,10,13,6,8,15,0.114,,0.75529,-0.26917,Infinity,12.30344,2.009598,5.7844696,,0.16743,60.892,0.08698,0.77408,0.042,9.83333,,3.0,0.959,876885
CNX,CNX Resources Corporation,Energy,Oil & Gas E&P,37.6,5.427252736,59,22,10,14,2,2,9,0.347,2.25,0.71489996,0.53599,9.447236,8.63917,2.8112586,1.2414566,,0.06982,67.511,0.048270002,1.02543,0.1774,35.78571,3.33333,14.0,0.628,1967500
DOCS,"Doximity, Inc.",Healthcare,Health Information Services,38.63,7.27291904,59,17,6,20,6,1,9,0.232,0.409,0.90204,0.38546002,30.904001,22.386806,11.705423,6.63176,,0.24605,1.029,0.02301,0.91497004,0.062800005,63.57143,1.85714,21.0,1.391,2623260
GTM,ZoomInfo Technologies Inc.,Technology,Software - Application,8.19,2.60958592,59,16,14,9,6,2,12,0.047,0.79,0.87365997,0.22704001,26.419353,7.3946996,2.1053536,1.6789668,,0.06508,102.071,0.11658,0.98964995,0.1105,12.26316,,19.0,1.067,5010485
HRTG,"Heritage Insurance Holdings, In",Financial Services,Insurance - Property & Casualty,26.44,0.820104576,59,11,14,17,6,7,4,0.003,5.13,0.35707,0.33026,5.47412,6.125092,0.9736756,1.7669073,,0.41645,23.25,0.20503001,0.64563006,0.0559,35.5,2.0,2.0,0.981,374966
NTCT,"NetScout Systems, Inc.",Technology,Software - Infrastructure,27.6,1.992545408,59,16,10,12,2,4,15,0.146,1.77,0.79213,0.14971,21.904762,11.069533,2.3094747,1.2661132,,0.059070002,2.767,0.03793,0.95699996,0.0388,30.42333,2.33333,3.0,0.622,507065
NUVB,Nuvation Bio Inc.,Healthcare,Biotechnology,5.34,1.830730624,59,12,6,9,10,7,15,17.047,,0.54258,-4.30137,,9.709091,68.44364,5.6151423,,-0.52494,17.659,0.19048999,0.66313004,0.22790001,11.88889,1.4,9.0,1.55,7816373
PRTH,"Priority Technology Holdings, I",Technology,Software - Infrastructure,5.91,0.48386096,59,16,10,6,4,8,15,0.063,3.857,0.38414,0.16262,11.150944,4.8944097,0.5186366,-4.3842726,,,,0.64457,0.20903999,0.0659,10.2,,5.0,1.371,561923
PRVA,"Privia Health Group, Inc.",Healthcare,Health Information Services,22.87,2.813044992,59,22,12,6,8,2,9,0.325,0.692,0.10170999,0.02481,163.35715,21.863827,1.3772093,3.9629183,,0.0344,0.817,0.06656,0.98463994,0.0375,31.25,1.42857,20.0,0.832,739086
SKYT,"SkyWater Technology, Inc.",Technology,Semiconductors,32.96,1.602702592,59,25,4,7,0,8,15,0.607,97.333,0.23277001,0.07258,12.628353,-117.016365,4.6242433,8.291824,,0.97293,105.917,0.27772,0.47131002,0.13520001,35.0,3.0,5.0,3.487,2519873
STGW,Stagwell Inc.,Communication Services,Advertising Agencies,6.07,1.570327168,59,16,12,4,10,8,9,0.045,2.0,0.36173,0.06464,86.71429,5.7196703,0.5433162,2.0611207,,0.03846,232.406,0.60132,0.41484,0.10569999,8.25,1.625,7.0,1.507,2912701
TTGT,"TechTarget, Inc.",Technology,Information Technology Services,5.34,0.385323232,59,12,15,9,2,9,12,0.945,,0.60708,-0.057129998,,6.5121956,0.8629589,0.64430505,,-2.75316,22.808,0.59744,0.39032,0.08140001,12.33333,,3.0,0.991,391025
XZO,"Exzeo Group, Inc.",Financial Services,Insurance - Diversified,21.0,1.906291584,59,25,4,15,6,5,4,0.92,3.167,1.0,0.50391,26.25,22.105263,9.048753,22.1519,,,9.582,0.86267,0.01031,0.0061000003,26.0,1.33333,2.0,,280347
YOU,"Clear Secure, Inc.",Technology,Software - Application,32.92,4.438521856,59,14,6,17,8,2,12,0.155,0.166,0.6359,0.22955,19.831326,17.618315,5.123551,21.615232,,1.3726,68.476,0.07287,1.0172,0.2555,39.375,2.25,8.0,1.19,1538733
AROC,"Archrock, Inc.",Energy,Oil & Gas Equipment & Services,29.17,5.1155328,58,22,7,13,4,3,9,0.309,0.799,0.64004,0.38647,19.31788,15.17311,3.5545244,3.599013,,0.19556,180.817,0.02708,1.00186,0.0525,31.55556,1.375,9.0,0.917,1588415
ASTH,Astrana Health Inc.,Healthcare,Medical Care Facilities,22.41,1.1239872,58,17,15,1,4,9,12,0.997,-0.977,0.10253,0.030869998,117.94737,10.049327,0.38805655,1.427025,,0.018339999,195.997,0.22118,0.55385,0.0856,36.88889,1.45455,9.0,0.869,566800
ATEN,"A10 Networks, Inc.",Technology,Software - Infrastructure,17.71,1.27782272,58,8,9,14,10,2,15,0.119,-0.003,0.79662,0.17399,25.666666,18.749271,4.4929523,6.1557174,,0.23884001,110.969,0.01303,0.99561,0.1033,23.16667,1.71429,6.0,1.221,681940
DCTH,"Delcath Systems, Inc.",Healthcare,Medical Devices,9.91,0.349958944,58,17,12,10,2,5,12,0.836,-0.667,0.86291003,-0.01887,330.33334,43.849556,4.3963037,3.0464187,,0.01941,0.84,0.0273,0.52429,0.1279,22.33333,1.16667,6.0,0.39,660793
IRDM,Iridium Communications Inc,Communication Services,Telecom Services,20.9,2.217780992,58,16,10,15,4,4,9,0.067,0.681,0.71299005,0.30883,18.495575,18.017242,2.544173,4.859335,,0.22589001,401.744,0.12527001,0.90685,0.1511,28.125,1.88889,8.0,0.554,2389525
LC,LendingClub Corporation,Financial Services,Banks - Regional,16.44,1.896666112,58,19,14,9,8,4,4,0.158,1.868,0.29764,0.16373,14.172415,7.0834594,1.4633617,1.2963256,,0.074039996,1.308,0.028770002,0.83766997,0.037100002,24.2,1.5,10.0,2.087,1801036
OSPN,OneSpan Inc.,Technology,Software - Infrastructure,11.65,0.446481856,58,3,14,19,4,3,15,0.014,-0.19,0.74036,0.16165,7.818792,8.204226,1.8492762,1.855391,,0.26864,3.682,0.02242,1.02368,0.053400002,16.5,,4.0,1.498,609683
ACEL,"Accel Entertainment, Inc.",Consumer Cyclical,Gambling,11.29,0.951676992,57,16,12,6,10,9,4,0.091,1.673,0.31028,0.07692,22.58,12.928566,0.72812235,3.540295,,0.18233,222.201,0.17085,0.74662,0.026099999,15.16667,1.5,6.0,1.082,408876
AIOT,"PowerFleet, Inc.",Technology,Software - Infrastructure,5.2,0.695888,57,9,15,10,6,2,15,0.45,,0.54622,0.056550004,,16.377953,1.63405,1.4755958,,-0.08979,61.459,0.06222,0.87793,0.1122,10.66667,,6.0,1.333,1229616
BGC,"BGC Group, Inc.",Financial Services,Capital Markets,8.95,4.251713792,57,22,11,8,10,2,4,0.312,0.887,0.90985,0.04472,27.12121,6.6791043,1.6099585,4.4066963,,0.14556,177.866,0.00868,0.85593003,0.038399998,14.5,1.5,2.0,1.068,2568880
BULL,Webull Corporation,Technology,Software - Application,7.34,3.68333568,57,12,10,14,2,7,12,0.545,-0.995,0.77425003,0.2059,,40.77778,7.154923,3.6884422,,0.03664,11.286,0.21649,0.56541,0.0573,16.5,1.0,2.0,-0.104,15078276
CARG,"CarGurus, Inc.",Consumer Cyclical,Auto & Truck Dealerships,33.01,3.276578816,57,16,6,18,10,3,4,0.032,1.143,0.88504,0.24499,22.304052,13.122222,3.5367987,8.4511,,0.3539,51.475,0.01827,1.09234,0.0848,40.875,2.0,12.0,1.364,889095
CBC,"Central Bancompany, Inc.",Financial Services,Banks - Regional,23.95,5.710707712,57,22,11,7,6,7,4,0.321,0.676,0.0,0.51893,17.230217,12.313624,5.642724,1.4510756,,0.11338,,0.66972,0.21347,,28.9,1.8,5.0,,274555
EE,"Excelerate Energy, Inc.",Energy,Oil & Gas Midstream,36.73,4.188357376,57,20,9,10,6,3,9,1.022,0.229,0.40618,0.22305,25.685316,17.521097,3.5336976,1.739604,,0.08534,66.659,0.01051,1.04829,0.0544,35.75,1.58333,12.0,1.359,379628
GTES,Gates Industrial Corporation pl,Industrials,Specialty Industrial Machinery,23.48,6.064423424,57,16,12,8,8,4,9,0.03,0.724,0.40601003,0.14935,25.802197,14.826602,1.7750918,1.7995094,,0.073020004,63.772,0.017690001,1.05539,0.0467,27.1725,1.75,12.0,1.246,2322723
HAYW,"Hayward Holdings, Inc.",Industrials,Electrical Equipment & Parts,16.3,3.534870528,57,16,7,12,6,4,12,0.074,0.571,0.51311,0.16915001,26.290321,19.259398,3.2139423,2.323261,,0.09523,67.18,0.02177,1.0868801,0.0354,17.85714,2.7,7.0,1.128,1549788
NEWT,"NewtekOne, Inc.",Financial Services,Banks - Regional,14.31,0.413377216,57,17,12,14,4,6,4,0.197,0.493,0.83792,0.56848,6.388393,5.724,1.0867938,1.2206774,,0.1774,194.171,0.06578,0.51342,0.088199995,16.6,,5.0,1.304,264998
OOMA,"Ooma, Inc.",Technology,Software - Application,11.62,0.320255648,57,8,13,10,8,6,12,0.038,,0.60997003,0.02774,145.25,9.149607,1.2125614,3.5633242,,0.02589,16.926,0.067379996,0.71156996,0.0383,18.56,,5.0,1.361,200333
SLM,SLM Corporation,Financial Services,Credit Services,26.92,5.465800704,57,20,9,15,6,3,4,0.678,1.264,1.0,0.66823995,7.780347,8.5774555,3.309185,2.4370813,,0.32305,239.088,0.00961,1.14912,0.0701,31.72727,2.18182,11.0,1.128,2894795
VNDA,Vanda Pharmaceuticals Inc.,Healthcare,Biotechnology,7.78,0.459771808,57,6,15,10,6,5,15,0.181,,0.94435,-0.55608004,,38.9,2.1679783,0.98655844,,-0.16719,2.342,0.07206,0.74687,0.0506,13.625,1.5,4.0,0.605,1704448
XOMA,XOMA Royalty Corporation,Healthcare,Biotechnology,24.97,0.30920608,57,11,10,10,6,5,15,0.299,,0.95128,-0.14222999,33.29333,11.668223,6.564049,3.4976888,,0.22453,124.021,0.01696,0.67788005,0.0887,64.5,,4.0,0.891,348358
ABEO,Abeona Therapeutics Inc.,Healthcare,Biotechnology,5.08,0.275292096,56,5,10,10,10,6,15,,,0.0,-208.0225,4.198347,-72.57143,688.2302,1.5544676,,0.75897,14.078,0.10978,0.68139,0.2719,20.64286,1.0,7.0,1.118,1738336
EVTC,"Evertec, Inc.",Technology,Software - Infrastructure,29.25,1.871527296,56,14,8,11,4,4,15,0.079,0.342,0.49811,0.16507,12.942478,7.798461,2.0716922,2.819549,,0.23636,154.876,0.00829,1.02485,0.048299998,32.8,2.33333,5.0,0.879,483973
MNKD,MannKind Corporation,Healthcare,Biotechnology,5.79,1.777936896,56,11,9,9,6,6,15,0.172,-0.349,0.75177,0.22861,57.899998,39.476376,5.666063,-39.931034,,,,0.01713,0.56961,0.09020001,9.61111,1.11111,9.0,0.811,3717703
MWA,MUELLER WATER PRODUCTS,Industrials,Specialty Industrial Machinery,26.99,4.220160768,56,16,6,15,6,4,9,0.094,4.511,0.36426997,0.20352,22.12295,17.874172,2.9517808,4.2977705,,0.21396999,48.895,0.01789,1.02336,0.037100002,27.66667,2.33333,6.0,1.175,1322538
PGY,Pagaya Technologies Ltd.,Technology,Software - Infrastructure,20.15,1.619978112,56,9,13,6,6,7,15,0.361,,0.42426997,0.22834,,6.3436594,1.3001993,3.6837294,,-0.36315,141.786,0.12465999,0.6322,0.241,39.0,1.4,10.0,5.883,3400568
PRSU,Pursuit Attractions and Hospita,Consumer Cyclical,Travel Services,35.55,1.005470016,56,17,12,10,10,3,4,0.322,0.575,0.25511,0.4362,,26.729322,2.2792382,1.6559529,,-0.01815,23.992,0.019299999,1.07357,0.0754,45.75,1.0,4.0,1.464,251043
PX,"P10, Inc.",Financial Services,Asset Management,10.9,1.199164416,56,16,12,9,6,9,4,0.023,0.746,0.55555,0.3031,83.84615,10.002019,3.9797835,3.474657,,0.04458,106.875,0.25114,0.65806997,0.0452,16.625,2.0,4.0,0.785,499655
TCMD,"Tactile Systems Technology, Inc",Healthcare,Medical Devices,28.58,0.638350912,56,19,8,12,2,3,12,0.173,0.714,0.7496,0.12784,37.605263,30.243387,2.049195,3.114647,,0.08801,8.163,0.02706,1.0084,0.0953,29.75,,4.0,0.915,482900
ADT,ADT Inc.,Industrials,Security & Protection Services,8.08,6.626251264,55,11,12,14,6,3,9,0.044,0.247,0.80921,0.25651,11.068493,8.541948,1.2959973,1.7955556,,0.17245,216.34,0.0164,1.03267,0.0705,9.48,,5.0,0.953,6309688
CRGY,Crescent Energy Company,Energy,Oil & Gas E&P,9.58,3.145903104,55,6,14,8,10,8,9,0.163,,0.57267,0.12438,,7.5308547,0.87629026,0.5456513,,-0.0027200002,72.039,0.14535,0.63332003,0.097399995,13.0,1.5,14.0,1.203,5940388
CXW,"CoreCivic, Inc.",Industrials,Security & Protection Services,18.75,2.00737408,55,17,15,4,6,4,9,0.181,0.263,0.23733,0.093389995,18.75,12.096774,0.96206707,1.3437006,,0.07414,72.762,0.020650001,0.91699,0.0299,29.875,1.0,4.0,0.692,1030101
DFDV,DeFi Development Corp.,Financial Services,Asset Management,5.17,0.154545776,55,17,10,19,0,5,4,6.472,,0.98274004,16.00951,1.4441341,-15.666666,20.533115,0.5877672,,0.56663,54.023,0.28116,0.22393,0.2251,14.0,,2.0,-6.938,1755683
EFC,Ellington Financial Inc.,Real Estate,REIT - Mortgage,13.5,1.682761856,55,19,9,10,6,7,4,0.252,0.566,1.0,0.5182,10.227272,7.2784915,5.1021385,0.9986685,,0.09283,870.863,0.02595,0.43741,0.038,14.625,1.75,8.0,0.94,1706561
EIC,Eagle Point Income Company Inc.,Financial Services,Asset Management,11.32,0.300143008,55,19,11,14,0,7,4,0.294,6.883,1.00065,0.81452006,8.84375,7.303226,5.064645,0.796566,,0.09,53.986,0.16455,0.10398,0.0064,14.0,,3.0,0.215,241121
